perturbed_top_10,perturbed_rank,keep_len,keep_index,masked_len,masked_index
"[(229, 0.7453697), (203, 0.49167565), (1109, 0.36964646), (321, 0.2217678), (449, 0.13152687), (353, 0.12763852), (537, 0.101599835), (581, 0.09234541), (310, 0.09005456), (236, 0.067678526), (474, 0.051230088), (473, 0.041336536), (428, 0.03678618), (684, 0.030292004), (743, 0.025370175), (277, 0.025349407), (53, 0.024825418), (155, 0.02396921), (82, 0.02187516), (197, 0.021785693)]","[229, 203, 1109, 321, 449, 353, 537, 581, 310, 236, 474, 473, 428, 684, 743, 277, 53, 155, 82, 197]",28,"[650, 340, 434, 81, 221, 517, 95, 182, 175, 430, 293, 272, 567, 21, 257, 78, 240, 565, 55, 176, 685, 187, 335, 402, 186, 126, 10, 180]",30,"[384, 258, 259, 687, 6, 510, 688, 143, 549, 171, 300, 173, 49, 683, 181, 54, 189, 194, 456, 209, 337, 88, 226, 227, 228, 357, 232, 242, 686, 509]"
"[(229, 0.8536595), (1109, 0.78866), (203, 0.61434716), (310, 0.39379713), (449, 0.30148044), (537, 0.28212255), (353, 0.27388468), (321, 0.2635165), (581, 0.19071573), (236, 0.16403754), (474, 0.13683182), (197, 0.07932729), (472, 0.07240293), (86, 0.07138121), (277, 0.067201115), (428, 0.06605808), (684, 0.06176438), (82, 0.059241302), (473, 0.056540634), (707, 0.052744318)]","[229, 1109, 203, 310, 449, 537, 353, 321, 581, 236, 474, 197, 472, 86, 277, 428, 684, 82, 473, 707]",52,"[565, 81, 456, 187, 335, 337, 384, 293, 567, 517, 181, 194, 687, 434, 272, 242, 221, 49, 686, 88, 228, 340, 126, 180, 78, 6, 549, 143, 688, 54, 240, 509, 650, 175, 171, 685, 182, 402, 189, 300, 95, 232, 186, 510, 227, 21, 209, 226, 176, 430, 259, 257]",6,"[258, 10, 173, 683, 55, 357]"
"[(229, 0.8611791), (1109, 0.6975331), (203, 0.44953287), (321, 0.38874248), (310, 0.3392986), (449, 0.31972572), (353, 0.2986261), (581, 0.23086688), (537, 0.20184791), (428, 0.16202292), (236, 0.15147868), (472, 0.141766), (684, 0.09055035), (474, 0.08731646), (155, 0.08145924), (707, 0.074379995), (277, 0.070610695), (326, 0.070129886), (197, 0.0583017), (53, 0.05466013)]","[229, 1109, 203, 321, 310, 449, 353, 581, 537, 428, 236, 472, 684, 474, 155, 707, 277, 326, 197, 53]",55,"[300, 430, 6, 55, 227, 81, 293, 687, 510, 226, 180, 49, 509, 257, 259, 143, 650, 186, 173, 78, 242, 209, 357, 221, 194, 567, 95, 10, 126, 337, 402, 54, 565, 176, 340, 456, 517, 272, 181, 228, 686, 240, 182, 171, 187, 258, 683, 88, 335, 175, 685, 384, 688, 21, 549]",3,"[434, 189, 232]"
"[(229, 0.023826802), (1109, 0.010812964), (353, 0.0056791822), (321, 0.0053581274), (310, 0.0052590733), (203, 0.005084285), (537, 0.0047319476), (449, 0.003950543), (472, 0.0034609754), (473, 0.0031818424), (474, 0.003173847), (581, 0.0030905264), (236, 0.002840795), (428, 0.0026285043), (197, 0.0023962383), (707, 0.002221509), (684, 0.0018908854), (277, 0.0017501385), (743, 0.0016971325), (548, 0.0016175014)]","[229, 1109, 353, 321, 310, 203, 537, 449, 472, 473, 474, 581, 236, 428, 197, 707, 684, 277, 743, 548]",1,[173],57,"[384, 257, 258, 259, 687, 517, 6, 510, 688, 10, 650, 143, 272, 402, 21, 293, 549, 171, 300, 430, 175, 176, 49, 434, 683, 180, 181, 54, 55, 182, 565, 186, 187, 567, 189, 194, 456, 78, 335, 81, 209, 337, 340, 88, 221, 95, 226, 227, 228, 357, 232, 240, 242, 685, 686, 509, 126]"
"[(229, 0.8230291), (1109, 0.6652649), (353, 0.30191764), (203, 0.24319404), (310, 0.22117077), (321, 0.21716271), (537, 0.15888734), (449, 0.14984368), (473, 0.13128388), (236, 0.12575418), (474, 0.114767194), (581, 0.07438069), (472, 0.055828355), (277, 0.05479505), (197, 0.052245602), (86, 0.0399634), (428, 0.03897986), (548, 0.037487213), (82, 0.036390875), (707, 0.03635465)]","[229, 1109, 353, 203, 310, 321, 537, 449, 473, 236, 474, 581, 472, 277, 197, 86, 428, 548, 82, 707]",52,"[232, 509, 55, 78, 54, 510, 272, 209, 335, 221, 456, 171, 293, 95, 687, 189, 180, 650, 21, 685, 182, 300, 194, 258, 226, 517, 186, 340, 187, 565, 173, 402, 357, 175, 686, 337, 228, 434, 143, 49, 10, 257, 126, 227, 6, 240, 567, 549, 181, 81, 430, 688]",6,"[384, 259, 176, 683, 88, 242]"
"[(229, 0.7596421), (1109, 0.53060913), (203, 0.3846507), (537, 0.31225052), (353, 0.20906739), (310, 0.17396009), (321, 0.16391283), (236, 0.13604555), (581, 0.12064687), (449, 0.11466933), (474, 0.05085926), (707, 0.043947462), (472, 0.042653166), (197, 0.036032125), (428, 0.02962755), (53, 0.02927972), (684, 0.026667781), (716, 0.02663159), (277, 0.026554236), (743, 0.023742102)]","[229, 1109, 203, 537, 353, 310, 321, 236, 581, 449, 474, 707, 472, 197, 428, 53, 684, 716, 277, 743]",43,"[686, 175, 257, 194, 567, 181, 10, 434, 685, 78, 272, 21, 402, 95, 221, 242, 126, 189, 55, 143, 176, 430, 228, 49, 509, 171, 650, 259, 565, 186, 173, 335, 337, 688, 300, 517, 357, 6, 227, 232, 340, 182, 549]",15,"[384, 258, 687, 510, 293, 683, 180, 54, 187, 456, 81, 209, 88, 226, 240]"
"[(229, 0.8645235), (1109, 0.62339556), (203, 0.5900865), (236, 0.35443833), (353, 0.34333658), (449, 0.31077573), (321, 0.28959543), (310, 0.28661272), (537, 0.21232712), (581, 0.2033073), (474, 0.08769575), (197, 0.06612451), (684, 0.056555074), (473, 0.0564654), (428, 0.05158279), (326, 0.051049612), (743, 0.04582633), (707, 0.041354366), (548, 0.039137673), (155, 0.0378788)]","[229, 1109, 203, 236, 353, 449, 321, 310, 537, 581, 474, 197, 684, 473, 428, 326, 743, 707, 548, 155]",48,"[173, 683, 181, 567, 228, 95, 549, 456, 88, 430, 687, 180, 688, 517, 221, 300, 510, 337, 78, 402, 258, 55, 176, 227, 175, 21, 226, 54, 232, 384, 242, 209, 126, 565, 171, 257, 272, 6, 49, 194, 335, 357, 685, 293, 187, 509, 10, 143]",10,"[259, 650, 434, 182, 186, 189, 81, 340, 240, 686]"
"[(229, 0.44172245), (1109, 0.19763467), (203, 0.12898193), (449, 0.045269936), (537, 0.035122417), (321, 0.03412051), (353, 0.033455007), (310, 0.030668011), (581, 0.022607194), (236, 0.021489473), (472, 0.018199451), (474, 0.013553285), (277, 0.012850065), (473, 0.012000004), (197, 0.011774269), (743, 0.011538289), (155, 0.010022002), (428, 0.009779281), (282, 0.008994447), (86, 0.008977662)]","[229, 1109, 203, 449, 537, 321, 353, 310, 581, 236, 472, 474, 277, 473, 197, 743, 155, 428, 282, 86]",12,"[340, 194, 509, 55, 549, 21, 402, 88, 143, 685, 49, 181]",46,"[384, 257, 258, 259, 687, 517, 6, 510, 688, 10, 650, 272, 293, 171, 300, 173, 430, 175, 176, 434, 683, 180, 54, 182, 565, 186, 187, 567, 189, 456, 78, 335, 81, 209, 337, 221, 95, 226, 227, 228, 357, 232, 240, 242, 686, 126]"
"[(229, 0.45535865), (1109, 0.18312503), (203, 0.14251103), (321, 0.09517673), (537, 0.06505567), (310, 0.048029125), (353, 0.045495786), (236, 0.038725063), (581, 0.037253365), (474, 0.037175253), (449, 0.03168753), (428, 0.030197604), (277, 0.016503068), (473, 0.014942601), (197, 0.014648065), (326, 0.013657812), (155, 0.012924426), (548, 0.012012612), (707, 0.012009794), (684, 0.011847967)]","[229, 1109, 203, 321, 537, 310, 353, 236, 581, 474, 449, 428, 277, 473, 197, 326, 155, 548, 707, 684]",19,"[189, 258, 49, 300, 88, 384, 171, 337, 517, 54, 176, 686, 509, 10, 456, 272, 357, 209, 549]",39,"[257, 259, 687, 6, 510, 688, 650, 143, 402, 21, 293, 173, 430, 175, 434, 683, 180, 181, 55, 182, 565, 186, 187, 567, 194, 78, 335, 81, 340, 221, 95, 226, 227, 228, 232, 240, 242, 685, 126]"
"[(229, 0.8720177), (1109, 0.76752275), (203, 0.71893954), (321, 0.426351), (537, 0.39301863), (236, 0.35181257), (310, 0.3258389), (449, 0.29051045), (353, 0.21432306), (581, 0.12211492), (474, 0.106356256), (707, 0.102649294), (472, 0.094573036), (743, 0.07561145), (473, 0.075279996), (86, 0.068866424), (155, 0.0584112), (326, 0.055442788), (53, 0.051241066), (684, 0.050192457)]","[229, 1109, 203, 321, 537, 236, 310, 449, 353, 581, 474, 707, 472, 743, 473, 86, 155, 326, 53, 684]",56,"[335, 88, 49, 242, 549, 81, 517, 187, 567, 565, 340, 402, 228, 126, 293, 10, 259, 55, 143, 194, 6, 232, 688, 337, 54, 357, 240, 175, 173, 226, 95, 509, 180, 227, 434, 78, 686, 685, 186, 21, 258, 221, 176, 181, 300, 683, 189, 257, 272, 510, 209, 650, 430, 687, 456, 182]",2,"[384, 171]"
"[(229, 0.7898141), (203, 0.4770285), (1109, 0.4413719), (310, 0.18387158), (321, 0.16530152), (449, 0.16359252), (353, 0.16058496), (537, 0.1312195), (581, 0.1251508), (197, 0.07554645), (472, 0.07024154), (277, 0.061903406), (428, 0.04885708), (473, 0.044241782), (684, 0.039079983), (474, 0.034730412), (236, 0.03391726), (155, 0.02716596), (326, 0.02644619), (127, 0.025198009)]","[229, 203, 1109, 310, 321, 449, 353, 537, 581, 197, 472, 277, 428, 473, 684, 474, 236, 155, 326, 127]",34,"[337, 10, 228, 173, 434, 685, 300, 686, 182, 257, 272, 242, 384, 176, 6, 510, 49, 650, 293, 95, 126, 209, 567, 194, 189, 430, 688, 221, 517, 88, 549, 683, 335, 357]",24,"[258, 259, 687, 143, 402, 21, 171, 175, 180, 181, 54, 55, 565, 186, 187, 456, 78, 81, 340, 226, 227, 232, 240, 509]"
"[(229, 0.77345216), (203, 0.47208655), (1109, 0.36123458), (310, 0.23811725), (321, 0.20672742), (353, 0.20618267), (537, 0.09203129), (449, 0.07719897), (474, 0.067332506), (581, 0.047825254), (473, 0.037867125), (236, 0.036299113), (472, 0.03172103), (82, 0.03120191), (428, 0.029027967), (707, 0.02859451), (684, 0.026189271), (197, 0.023883844), (277, 0.021262936), (326, 0.020809084)]","[229, 203, 1109, 310, 321, 353, 537, 449, 474, 581, 473, 236, 472, 82, 428, 707, 684, 197, 277, 326]",30,"[240, 549, 180, 187, 650, 340, 143, 175, 242, 221, 384, 335, 194, 54, 95, 78, 259, 510, 687, 10, 430, 686, 232, 337, 81, 565, 171, 688, 186, 257]",28,"[258, 517, 6, 272, 402, 21, 293, 300, 173, 176, 49, 434, 683, 181, 55, 182, 567, 189, 456, 209, 88, 226, 227, 228, 357, 685, 509, 126]"
"[(229, 0.8575574), (1109, 0.715311), (203, 0.6051529), (310, 0.27394867), (537, 0.25098112), (581, 0.24723394), (321, 0.24668798), (353, 0.24324524), (449, 0.1884853), (474, 0.16221893), (236, 0.13076063), (472, 0.12645625), (428, 0.097704954), (473, 0.09337115), (277, 0.08203507), (707, 0.06655501), (282, 0.061043717), (197, 0.054037657), (326, 0.042613573), (53, 0.038853623)]","[229, 1109, 203, 310, 537, 581, 321, 353, 449, 474, 236, 472, 428, 473, 277, 707, 282, 197, 326, 53]",54,"[221, 182, 434, 126, 384, 55, 272, 510, 337, 186, 194, 78, 228, 227, 240, 567, 257, 54, 687, 173, 517, 650, 187, 189, 258, 688, 456, 180, 143, 232, 565, 683, 49, 171, 209, 340, 175, 6, 509, 335, 402, 686, 81, 259, 95, 430, 21, 226, 300, 685, 10, 181, 549, 357]",4,"[293, 176, 88, 242]"
"[(229, 0.6007579), (1109, 0.34113112), (203, 0.15913868), (310, 0.14261658), (449, 0.107774846), (537, 0.08555742), (321, 0.08168368), (353, 0.06946939), (236, 0.063056454), (581, 0.042265847), (474, 0.02520765), (743, 0.024539964), (277, 0.023948863), (472, 0.0233083), (473, 0.018051438), (428, 0.016129473), (155, 0.015956629), (197, 0.015944526), (82, 0.0148042515), (279, 0.013743231)]","[229, 1109, 203, 310, 449, 537, 321, 353, 236, 581, 474, 743, 277, 472, 473, 428, 155, 197, 82, 279]",26,"[10, 175, 650, 549, 194, 257, 517, 189, 683, 402, 6, 335, 357, 173, 126, 434, 340, 78, 88, 300, 293, 686, 259, 430, 685, 567]",32,"[384, 258, 687, 510, 688, 143, 272, 21, 171, 176, 49, 180, 181, 54, 55, 182, 565, 186, 187, 456, 81, 209, 337, 221, 95, 226, 227, 228, 232, 240, 242, 509]"
"[(229, 0.8216241), (1109, 0.5321674), (353, 0.37590557), (310, 0.30593595), (449, 0.22477208), (321, 0.20710051), (537, 0.19445543), (203, 0.19011825), (581, 0.13538274), (236, 0.09372125), (473, 0.07000331), (474, 0.06965975), (155, 0.06299069), (197, 0.061334137), (707, 0.052284192), (428, 0.045844775), (326, 0.040911052), (53, 0.034837604), (86, 0.033793714), (743, 0.031481937)]","[229, 1109, 353, 310, 449, 321, 537, 203, 581, 236, 473, 474, 155, 197, 707, 428, 326, 53, 86, 743]",45,"[95, 143, 259, 176, 78, 232, 434, 228, 182, 186, 340, 180, 81, 226, 258, 175, 55, 10, 430, 209, 567, 257, 54, 300, 335, 88, 510, 126, 227, 293, 650, 686, 6, 49, 337, 549, 357, 240, 384, 456, 402, 189, 194, 565, 181]",13,"[687, 517, 688, 272, 21, 171, 173, 683, 187, 221, 242, 685, 509]"
"[(229, 0.43937632), (1109, 0.11262939), (321, 0.07932014), (203, 0.06476825), (537, 0.05085151), (353, 0.046569534), (449, 0.046302795), (428, 0.023694115), (474, 0.023363184), (236, 0.021866735), (310, 0.021384293), (581, 0.020887516), (472, 0.017728832), (743, 0.014279611), (82, 0.014187044), (155, 0.013516995), (277, 0.013338783), (197, 0.012337762), (473, 0.012148188), (707, 0.011630072)]","[229, 1109, 321, 203, 537, 353, 449, 428, 474, 236, 310, 581, 472, 743, 82, 155, 277, 197, 473, 707]",12,"[456, 182, 209, 549, 78, 257, 221, 300, 81, 335, 228, 565]",46,"[384, 258, 259, 687, 517, 6, 510, 688, 10, 650, 143, 272, 402, 21, 293, 171, 173, 430, 175, 176, 49, 434, 683, 180, 181, 54, 55, 186, 187, 567, 189, 194, 337, 340, 88, 95, 226, 227, 357, 232, 240, 242, 685, 686, 509, 126]"
"[(229, 0.798853), (1109, 0.60578364), (203, 0.48583558), (353, 0.29565075), (310, 0.2738996), (581, 0.21219333), (321, 0.17737895), (449, 0.17602418), (537, 0.15556318), (236, 0.10568118), (197, 0.10300901), (473, 0.09129069), (428, 0.063303545), (474, 0.06298468), (684, 0.060341593), (326, 0.05621825), (277, 0.048667807), (282, 0.04634852), (155, 0.041366298), (716, 0.033803284)]","[229, 1109, 203, 353, 310, 581, 321, 449, 537, 236, 197, 473, 428, 474, 684, 326, 277, 282, 155, 716]",43,"[510, 687, 688, 181, 293, 175, 509, 10, 456, 549, 402, 340, 6, 384, 182, 257, 176, 186, 227, 194, 171, 683, 55, 517, 143, 49, 232, 259, 357, 272, 226, 180, 337, 189, 650, 565, 81, 126, 434, 335, 686, 242, 567]",15,"[258, 21, 300, 173, 430, 54, 187, 78, 209, 88, 221, 95, 228, 240, 685]"
"[(229, 0.7408266), (1109, 0.55933785), (203, 0.4778127), (310, 0.22174932), (321, 0.19799183), (449, 0.17792432), (353, 0.1601238), (236, 0.13539484), (537, 0.11164283), (472, 0.0653277), (474, 0.048339635), (581, 0.03960531), (684, 0.032182217), (473, 0.026902292), (743, 0.02617772), (428, 0.025159864), (197, 0.021762416), (277, 0.019868763), (987, 0.019325946), (86, 0.01629539)]","[229, 1109, 203, 310, 321, 449, 353, 236, 537, 472, 474, 581, 684, 473, 743, 428, 197, 277, 987, 86]",32,"[194, 6, 259, 227, 434, 335, 510, 650, 54, 10, 55, 171, 182, 567, 175, 384, 180, 565, 683, 173, 189, 257, 517, 685, 176, 272, 78, 187, 340, 686, 456, 228]",26,"[258, 687, 688, 143, 402, 21, 293, 549, 300, 430, 49, 181, 186, 81, 209, 337, 88, 221, 95, 226, 357, 232, 240, 242, 509, 126]"
"[(229, 0.80779845), (1109, 0.6368354), (203, 0.45060825), (321, 0.3074536), (449, 0.23975354), (353, 0.19004618), (537, 0.1545927), (428, 0.13728538), (310, 0.13609299), (581, 0.13094334), (473, 0.075135514), (743, 0.061160073), (472, 0.049106825), (707, 0.048883326), (236, 0.04787584), (474, 0.04490184), (326, 0.04016842), (277, 0.036016576), (716, 0.03464102), (548, 0.033625178)]","[229, 1109, 203, 321, 449, 353, 537, 428, 310, 581, 473, 743, 472, 707, 236, 474, 326, 277, 716, 548]",48,"[685, 228, 227, 683, 209, 650, 226, 300, 81, 565, 88, 402, 182, 171, 143, 126, 240, 340, 173, 189, 293, 181, 687, 10, 95, 78, 175, 567, 176, 221, 49, 259, 688, 384, 335, 357, 272, 509, 21, 6, 55, 517, 187, 430, 456, 180, 686, 337]",10,"[257, 258, 510, 549, 434, 54, 186, 194, 232, 242]"
"[(229, 0.7694748), (203, 0.4784048), (1109, 0.37637013), (321, 0.24460115), (353, 0.21197024), (310, 0.20372996), (474, 0.19245082), (537, 0.14089169), (236, 0.111955464), (449, 0.10359801), (581, 0.08023592), (472, 0.04538956), (707, 0.043576524), (155, 0.038260162), (326, 0.033860285), (684, 0.031145787), (277, 0.027676446), (743, 0.027613167), (428, 0.026959484), (53, 0.02486446)]","[229, 203, 1109, 321, 353, 310, 474, 537, 236, 449, 581, 472, 707, 155, 326, 684, 277, 743, 428, 53]",33,"[686, 430, 335, 384, 510, 49, 509, 549, 189, 54, 209, 227, 517, 232, 340, 357, 258, 176, 78, 88, 565, 173, 242, 257, 683, 685, 300, 181, 434, 456, 55, 180, 194]",25,"[259, 687, 6, 688, 10, 650, 143, 272, 402, 21, 293, 171, 175, 182, 186, 187, 567, 81, 337, 221, 95, 226, 228, 240, 126]"
