user_id,top_20_with_score,top_20,hit_ratio,ndcg
10,"[(185, 0.7001996), (181, 0.6544776), (146, 0.633171), (273, 0.615551), (142, 0.5244201), (627, 0.5153797), (155, 0.4961695), (878, 0.4400133), (442, 0.42897975), (530, 0.42832893), (140, 0.42407873), (302, 0.4095947), (232, 0.38598695), (346, 0.3807873), (927, 0.3780996), (218, 0.35443747), (1073, 0.34339193), (624, 0.34264323), (577, 0.33726883), (161, 0.32972494)]","[185, 181, 146, 273, 142, 627, 155, 878, 442, 530, 140, 302, 232, 346, 927, 218, 1073, 624, 577, 161]",1,0.43067655807339306
11,"[(172, 0.7619138), (78, 0.70343375), (117, 0.5998973), (273, 0.5762073), (691, 0.5075698), (208, 0.4767311), (865, 0.46314397), (734, 0.38433078), (428, 0.36429378), (530, 0.36414856), (1046, 0.3197207), (1013, 0.28944895), (1073, 0.28206372), (289, 0.26875517), (520, 0.23554069), (290, 0.22769272), (769, 0.22478838), (125, 0.20200342), (101, 0.19357193), (720, 0.18949395)]","[172, 78, 117, 273, 691, 208, 865, 734, 428, 530, 1046, 1013, 1073, 289, 520, 290, 769, 125, 101, 720]",1,0.3154648767857287
12,"[(150, 0.89001626), (281, 0.7966685), (254, 0.78554755), (707, 0.7326002), (122, 0.715275), (239, 0.70623237), (251, 0.6974497), (743, 0.6903625), (213, 0.64590967), (53, 0.6333374), (385, 0.59000605), (918, 0.5556374), (1088, 0.5511794), (75, 0.54804635), (460, 0.5059446), (976, 0.50213313), (1072, 0.4908412), (1266, 0.4846047), (1093, 0.4629769), (680, 0.4480003)]","[150, 281, 254, 707, 122, 239, 251, 743, 213, 53, 385, 918, 1088, 75, 460, 976, 1072, 1266, 1093, 680]",0,0.0
13,"[(78, 0.6935203), (227, 0.605129), (146, 0.58304524), (131, 0.5684625), (179, 0.5554625), (461, 0.5415361), (268, 0.5414307), (384, 0.53579324), (217, 0.52125037), (431, 0.5185243), (153, 0.48064187), (303, 0.47717908), (316, 0.45991102), (226, 0.43764254), (76, 0.41281018), (590, 0.32782778), (505, 0.3196968), (719, 0.31320885), (232, 0.30455285), (333, 0.2969335)]","[78, 227, 146, 131, 179, 461, 268, 384, 217, 431, 153, 303, 316, 226, 76, 590, 505, 719, 232, 333]",1,0.33333333333333337
14,"[(11, 0.7175745), (227, 0.63743806), (225, 0.58521026), (174, 0.57315344), (514, 0.559037), (230, 0.5134075), (61, 0.5007652), (168, 0.48606753), (122, 0.47855687), (450, 0.4628838), (681, 0.35111815), (2, 0.35103995), (708, 0.34671158), (314, 0.3417212), (709, 0.3297066), (86, 0.3265285), (678, 0.2957324), (448, 0.28317204), (759, 0.25169036), (395, 0.2512677)]","[11, 227, 225, 174, 514, 230, 61, 168, 122, 450, 681, 2, 708, 314, 709, 86, 678, 448, 759, 395]",0,0.0
15,"[(264, 0.67464894), (96, 0.633735), (94, 0.5761968), (402, 0.55860746), (482, 0.5494566), (587, 0.5490562), (61, 0.47525898), (202, 0.46897084), (471, 0.44895676), (525, 0.42525205), (37, 0.4233786), (342, 0.41997385), (651, 0.40005907), (1027, 0.392209), (149, 0.36103204), (62, 0.33844924), (681, 0.32254118), (162, 0.28521088), (485, 0.27024853), (92, 0.25146878)]","[264, 96, 94, 402, 482, 587, 61, 202, 471, 525, 37, 342, 651, 1027, 149, 62, 681, 162, 485, 92]",1,0.5
16,"[(256, 0.6863236), (131, 0.5629891), (596, 0.5623217), (507, 0.55039924), (21, 0.5348289), (207, 0.48935062), (303, 0.4712982), (656, 0.46270606), (401, 0.44685373), (61, 0.44382533), (269, 0.4428318), (428, 0.3408078), (16, 0.32460964), (1010, 0.30575442), (86, 0.2709683), (1133, 0.25637525), (72, 0.25198266), (745, 0.24357338), (67, 0.2345439), (825, 0.21517178)]","[256, 131, 596, 507, 21, 207, 303, 656, 401, 61, 269, 428, 16, 1010, 86, 1133, 72, 745, 67, 825]",1,0.43067655807339306
17,"[(6, 0.7801604), (63, 0.7367115), (229, 0.6411723), (146, 0.63241184), (228, 0.61726445), (303, 0.5445401), (292, 0.5236408), (321, 0.5119375), (677, 0.5031024), (155, 0.4954869), (54, 0.48518538), (37, 0.47698417), (565, 0.4749837), (342, 0.47400388), (464, 0.45981997), (719, 0.39410454), (695, 0.34908757), (191, 0.34496665), (289, 0.32776982), (304, 0.31423104)]","[6, 63, 229, 146, 228, 303, 292, 321, 677, 155, 54, 37, 565, 342, 464, 719, 695, 191, 289, 304]",1,0.6309297535714574
18,"[(95, 0.7565396), (422, 0.6776341), (96, 0.63578624), (227, 0.62361157), (146, 0.6018815), (94, 0.5783559), (402, 0.5609037), (3, 0.4945608), (321, 0.46712866), (47, 0.4617988), (46, 0.45545408), (519, 0.41668144), (249, 0.41164166), (878, 0.3887178), (481, 0.37338868), (52, 0.35355932), (1010, 0.34041828), (814, 0.33655632), (681, 0.32710624), (454, 0.32658532)]","[95, 422, 96, 227, 146, 94, 402, 3, 321, 47, 46, 519, 249, 878, 481, 52, 1010, 814, 681, 454]",1,0.3154648767857287
19,"[(203, 0.7593705), (88, 0.598742), (384, 0.531314), (731, 0.5297035), (292, 0.44574618), (47, 0.42685547), (450, 0.40401247), (743, 0.38208205), (32, 0.36934975), (442, 0.3423282), (280, 0.33558795), (925, 0.33407077), (420, 0.32503638), (241, 0.30787167), (427, 0.29751948), (91, 0.26755777), (509, 0.26680645), (624, 0.2619232), (1100, 0.24481004), (135, 0.2259734)]","[203, 88, 384, 731, 292, 47, 450, 743, 32, 442, 280, 925, 420, 241, 427, 91, 509, 624, 1100, 135]",1,1.0
20,"[(201, 0.7235862), (88, 0.65973634), (234, 0.6037112), (581, 0.5926099), (514, 0.5853719), (208, 0.539727), (513, 0.5364331), (192, 0.53084046), (168, 0.5200308), (214, 0.51710355), (54, 0.4982344), (251, 0.4890103), (85, 0.4634159), (115, 0.42359272), (1046, 0.40010127), (427, 0.39885083), (454, 0.3947577), (692, 0.38589773), (662, 0.3804263), (51, 0.37980148)]","[201, 88, 234, 581, 514, 208, 513, 192, 168, 214, 54, 251, 85, 115, 1046, 427, 454, 692, 662, 51]",0,0.0
21,"[(124, 0.6523353), (275, 0.6425877), (146, 0.61303836), (317, 0.6029064), (196, 0.58462757), (865, 0.49202326), (417, 0.45713878), (761, 0.44105896), (409, 0.43627566), (519, 0.43350714), (249, 0.42841333), (1027, 0.41336602), (169, 0.4058164), (477, 0.37474015), (291, 0.34537432), (346, 0.34488326), (927, 0.34230885), (224, 0.3395205), (314, 0.33450776), (411, 0.33076945)]","[124, 275, 146, 317, 196, 865, 417, 761, 409, 519, 249, 1027, 169, 477, 291, 346, 927, 224, 314, 411]",1,0.2789429456511298
22,"[(299, 0.7275599), (256, 0.720162), (167, 0.6875382), (332, 0.6712914), (273, 0.59898), (567, 0.5974838), (110, 0.58870286), (656, 0.5171125), (204, 0.4597727), (734, 0.41762713), (428, 0.39840445), (839, 0.3737392), (326, 0.33317012), (575, 0.32680935), (501, 0.3204284), (64, 0.31112507), (377, 0.30183718), (1040, 0.27607796), (870, 0.2636148), (646, 0.2512931)]","[299, 256, 167, 332, 273, 567, 110, 656, 204, 734, 428, 839, 326, 575, 501, 64, 377, 1040, 870, 646]",1,0.6309297535714574
23,"[(209, 0.7096114), (741, 0.66737527), (185, 0.64463526), (117, 0.57830334), (596, 0.5558643), (94, 0.54531014), (254, 0.53002846), (514, 0.5044619), (3, 0.45039487), (230, 0.44961235), (226, 0.4239557), (322, 0.42220336), (844, 0.40908465), (204, 0.394906), (342, 0.3818458), (297, 0.37559488), (32, 0.3601781), (331, 0.35503662), (518, 0.35499617), (85, 0.35456693)]","[209, 741, 185, 117, 596, 94, 254, 514, 3, 230, 226, 322, 844, 204, 342, 297, 32, 331, 518, 85]",1,0.6309297535714574
24,"[(180, 0.8734307), (88, 0.60316604), (317, 0.5730534), (281, 0.5624087), (581, 0.5275696), (93, 0.42687935), (155, 0.4205682), (522, 0.41903836), (450, 0.41057536), (738, 0.4024392), (297, 0.39109313), (57, 0.3822512), (442, 0.34902164), (530, 0.34836432), (280, 0.34221816), (1, 0.33161107), (213, 0.32491538), (749, 0.27006257), (242, 0.26742396), (469, 0.26208842)]","[180, 88, 317, 281, 581, 93, 155, 522, 450, 738, 297, 57, 442, 530, 280, 1, 213, 749, 242, 469]",1,1.0
25,"[(97, 0.7719817), (78, 0.7165969), (237, 0.6497327), (14, 0.63018), (567, 0.59023535), (94, 0.5863796), (482, 0.56116104), (478, 0.55670404), (410, 0.5332042), (153, 0.5206107), (272, 0.51457477), (142, 0.49330315), (176, 0.42468598), (734, 0.4109837), (689, 0.40878168), (140, 0.38757843), (323, 0.36084473), (708, 0.33732885), (51, 0.3260135), (440, 0.31028903)]","[97, 78, 237, 14, 567, 94, 482, 478, 410, 153, 272, 142, 176, 734, 689, 140, 323, 708, 51, 440]",1,0.43067655807339306
26,"[(285, 0.8018958), (221, 0.76494205), (236, 0.75585693), (233, 0.7200131), (526, 0.6561455), (69, 0.61543703), (317, 0.589119), (482, 0.54943395), (587, 0.5490335), (470, 0.5354955), (366, 0.4968098), (132, 0.4894787), (210, 0.4825261), (142, 0.47606748), (269, 0.4748466), (30, 0.43563262), (342, 0.42055193), (483, 0.42026365), (57, 0.40556213), (82, 0.39342162)]","[285, 221, 236, 233, 526, 69, 317, 482, 587, 470, 366, 132, 210, 142, 269, 30, 342, 483, 57, 82]",1,1.0
27,"[(275, 0.6164516), (418, 0.5843397), (402, 0.54138654), (384, 0.5399471), (410, 0.500466), (136, 0.48905206), (154, 0.47895575), (210, 0.4616433), (61, 0.4550029), (269, 0.45400473), (322, 0.44119194), (497, 0.39189544), (32, 0.3798169), (53, 0.3117565), (411, 0.29129866), (684, 0.28407142), (289, 0.25832498), (660, 0.258221), (745, 0.2527476), (279, 0.2275703)]","[275, 418, 402, 384, 410, 136, 154, 210, 61, 269, 322, 497, 32, 53, 411, 684, 289, 660, 745, 279]",1,0.2789429456511298
28,"[(332, 0.6708676), (182, 0.6382514), (317, 0.6063329), (271, 0.57303274), (478, 0.5636355), (430, 0.52471447), (154, 0.52179015), (321, 0.48909894), (318, 0.47865134), (432, 0.47521785), (738, 0.4533109), (90, 0.4240108), (595, 0.41757768), (428, 0.39986318), (280, 0.39373472), (506, 0.38797617), (183, 0.38633522), (420, 0.3833199), (590, 0.38147655), (177, 0.378538)]","[332, 182, 317, 271, 478, 430, 154, 321, 318, 432, 738, 90, 595, 428, 280, 506, 183, 420, 590, 177]",0,0.0
29,"[(99, 0.8376229), (264, 0.6614886), (185, 0.6564501), (495, 0.6236453), (182, 0.6078916), (146, 0.5854315), (478, 0.529858), (240, 0.5157223), (691, 0.49954975), (366, 0.4820022), (677, 0.43845433), (417, 0.42147276), (204, 0.4195086), (409, 0.4010349), (212, 0.39798403), (183, 0.3440184), (224, 0.3051105), (305, 0.29809192), (749, 0.27838528), (289, 0.26347953)]","[99, 264, 185, 495, 182, 146, 478, 240, 691, 366, 677, 417, 204, 409, 212, 183, 224, 305, 749, 289]",1,0.2789429456511298
30,"[(150, 0.7645826), (287, 0.7585301), (264, 0.6758705), (124, 0.64089537), (731, 0.5566057), (306, 0.53036726), (132, 0.48969954), (316, 0.48639736), (204, 0.43422362), (519, 0.41283256), (497, 0.41225198), (743, 0.41217342), (528, 0.3980599), (90, 0.3975237), (71, 0.39613366), (259, 0.39393523), (420, 0.35574692), (590, 0.35380542), (52, 0.3496224), (323, 0.34198776)]","[150, 287, 264, 124, 731, 306, 132, 316, 204, 519, 497, 743, 528, 90, 71, 259, 420, 590, 52, 323]",1,0.2789429456511298
31,"[(126, 0.72994816), (190, 0.71177113), (63, 0.6721298), (215, 0.626408), (596, 0.5391107), (184, 0.4894876), (292, 0.41912642), (318, 0.39435303), (76, 0.38218042), (300, 0.3818577), (54, 0.37627575), (659, 0.37594035), (342, 0.3635352), (121, 0.35947445), (409, 0.35816208), (442, 0.31626284), (530, 0.31563732), (1, 0.29973403), (130, 0.27511984), (681, 0.27022415)]","[126, 190, 63, 215, 596, 184, 292, 318, 76, 300, 54, 659, 342, 121, 409, 442, 530, 1, 130, 681]",1,0.2559580248098155
32,"[(285, 0.8086654), (150, 0.77099675), (63, 0.7175581), (356, 0.67815316), (526, 0.66582006), (24, 0.6439566), (117, 0.6150732), (21, 0.5720992), (174, 0.5666202), (514, 0.5524564), (136, 0.52283216), (865, 0.48895735), (483, 0.43906283), (558, 0.43683496), (147, 0.43522596), (734, 0.4109445), (481, 0.3881697), (16, 0.37548658), (2, 0.34156203), (91, 0.3126788)]","[285, 150, 63, 356, 526, 24, 117, 21, 174, 514, 136, 865, 483, 558, 147, 734, 481, 16, 2, 91]",0,0.0
33,"[(173, 0.81998724), (185, 0.6782746), (312, 0.67815226), (175, 0.63710105), (8, 0.57318664), (431, 0.55227757), (747, 0.5467618), (410, 0.53088415), (513, 0.49492612), (269, 0.48943925), (192, 0.48853424), (318, 0.4663911), (464, 0.41998318), (216, 0.4071393), (750, 0.3817263), (506, 0.37590617), (80, 0.37355608), (16, 0.37149903), (420, 0.37090433), (719, 0.35343957)]","[173, 185, 312, 175, 8, 431, 747, 410, 513, 269, 192, 318, 464, 216, 750, 506, 80, 16, 420, 719]",0,0.0
34,"[(285, 0.80539596), (293, 0.80443233), (116, 0.7765243), (150, 0.76726884), (78, 0.7122547), (185, 0.6742391), (244, 0.5795247), (225, 0.5735991), (514, 0.545995), (198, 0.51247054), (316, 0.49414828), (318, 0.45964527), (446, 0.4426279), (518, 0.40304315), (549, 0.4026344), (82, 0.4015507), (500, 0.39812148), (681, 0.3312417), (314, 0.3221126), (1013, 0.30499113)]","[285, 293, 116, 150, 78, 185, 244, 225, 514, 198, 316, 318, 446, 518, 549, 82, 500, 681, 314, 1013]",0,0.0
35,"[(180, 0.88297886), (63, 0.7231444), (201, 0.70177984), (301, 0.677759), (237, 0.6559522), (654, 0.6526775), (14, 0.6365524), (507, 0.59173834), (30, 0.46195605), (23, 0.45152128), (409, 0.44140765), (212, 0.43827432), (528, 0.42360204), (90, 0.42305565), (518, 0.42060027), (500, 0.4156135), (65, 0.41530722), (169, 0.4108511), (442, 0.39941174), (140, 0.39461496)]","[180, 63, 201, 301, 237, 654, 14, 507, 30, 23, 409, 212, 528, 90, 518, 500, 65, 169, 442, 140]",0,0.0
36,"[(203, 0.7672648), (422, 0.66634333), (264, 0.66527855), (215, 0.65643686), (152, 0.6560683), (474, 0.59430027), (208, 0.46887207), (292, 0.46034008), (142, 0.4596499), (320, 0.43409914), (28, 0.4186461), (483, 0.40428555), (121, 0.40067482), (176, 0.39021656), (128, 0.37861502), (595, 0.37489998), (420, 0.33925486), (1010, 0.32050657), (557, 0.29268822), (672, 0.28045145)]","[203, 422, 264, 215, 152, 474, 208, 292, 142, 320, 28, 483, 121, 176, 128, 595, 420, 1010, 557, 672]",1,0.5
37,"[(180, 0.8843976), (120, 0.78784454), (299, 0.7312237), (185, 0.6894011), (301, 0.6823657), (275, 0.65054345), (134, 0.6113022), (274, 0.6104099), (196, 0.59305644), (234, 0.5831196), (269, 0.50656605), (865, 0.5038418), (483, 0.45657468), (121, 0.45285195), (85, 0.4302392), (82, 0.4291302), (216, 0.42816815), (527, 0.41494295), (925, 0.4011447), (420, 0.39215145)]","[180, 120, 299, 185, 301, 275, 134, 274, 196, 234, 269, 865, 483, 121, 85, 82, 216, 527, 925, 420]",1,0.2559580248098155
38,"[(152, 0.6680949), (146, 0.6024879), (174, 0.5591972), (217, 0.54718477), (691, 0.518867), (316, 0.4917178), (187, 0.48424846), (61, 0.48179445), (320, 0.45626718), (483, 0.42607737), (761, 0.4258891), (147, 0.42226854), (176, 0.41177428), (664, 0.40844336), (651, 0.40636122), (549, 0.4002013), (325, 0.39358774), (169, 0.39101064), (213, 0.35456368), (62, 0.34486505)]","[152, 146, 174, 217, 691, 316, 187, 61, 320, 483, 761, 147, 176, 664, 651, 549, 325, 169, 213, 62]",0,0.0
39,"[(257, 0.8295206), (404, 0.7428206), (201, 0.6837832), (264, 0.67128295), (312, 0.6661922), (152, 0.66215396), (117, 0.6015301), (507, 0.5711589), (234, 0.55672055), (402, 0.5546575), (431, 0.53604335), (136, 0.5040504), (707, 0.47413355), (245, 0.45698696), (204, 0.42969003), (558, 0.41378626), (82, 0.38923126), (325, 0.38374883), (750, 0.36177367), (149, 0.35722294)]","[257, 404, 201, 264, 312, 152, 117, 507, 234, 402, 431, 136, 707, 245, 204, 558, 82, 325, 750, 149]",1,1.0
40,"[(0, 0.8230296), (327, 0.6287539), (175, 0.62244344), (227, 0.61589813), (81, 0.60868144), (244, 0.5686592), (184, 0.5347425), (303, 0.4949787), (656, 0.48635194), (192, 0.46511075), (321, 0.45448953), (93, 0.44248965), (475, 0.44096848), (738, 0.4178073), (23, 0.41700193), (519, 0.40437144), (743, 0.4037166), (259, 0.3856071), (734, 0.38439888), (500, 0.3819277)]","[0, 327, 175, 227, 81, 244, 184, 303, 656, 192, 321, 93, 475, 738, 23, 519, 743, 259, 734, 500]",1,1.0
41,"[(256, 0.7142253), (312, 0.678945), (181, 0.6318169), (267, 0.5809424), (240, 0.5433144), (207, 0.53156704), (12, 0.4821427), (318, 0.46553895), (30, 0.44985557), (121, 0.43068585), (762, 0.42611253), (527, 0.39329863), (213, 0.363031), (927, 0.3354921), (162, 0.2987141), (577, 0.29706472), (58, 0.2883392), (1100, 0.28336048), (75, 0.24220768), (395, 0.239664)]","[256, 312, 181, 267, 240, 207, 12, 318, 30, 121, 762, 527, 213, 927, 162, 577, 58, 1100, 75, 395]",0,0.0
42,"[(233, 0.7273062), (332, 0.66306543), (474, 0.61277616), (199, 0.4960467), (525, 0.44358173), (23, 0.44306725), (484, 0.36113912), (18, 0.35444915), (454, 0.3400109), (927, 0.3390482), (162, 0.30205756), (386, 0.2666029), (639, 0.25952002), (825, 0.25445512), (805, 0.25149718), (127, 0.2447385), (493, 0.24293782), (496, 0.23349753), (200, 0.21195985), (626, 0.21133977)]","[233, 332, 474, 199, 525, 23, 484, 18, 454, 927, 162, 386, 639, 825, 805, 127, 493, 496, 200, 626]",0,0.0
43,"[(209, 0.72021216), (299, 0.7007929), (27, 0.5542081), (392, 0.5463486), (240, 0.5128792), (133, 0.48235783), (513, 0.45948565), (22, 0.45774364), (664, 0.38237768), (734, 0.3715853), (216, 0.37155858), (530, 0.35143602), (925, 0.34372607), (302, 0.33259293), (490, 0.29266363), (218, 0.28070796), (1013, 0.27820322), (501, 0.27726114), (672, 0.27623168), (509, 0.2753214)]","[209, 299, 27, 392, 240, 133, 513, 22, 664, 734, 216, 530, 925, 302, 490, 218, 1013, 501, 672, 509]",1,0.30102999566398114
44,"[(172, 0.7670007), (404, 0.74689597), (215, 0.6672971), (545, 0.6524319), (654, 0.63823193), (10, 0.5994367), (179, 0.57604814), (244, 0.5760106), (27, 0.57197267), (272, 0.5029174), (208, 0.4895636), (409, 0.4201454), (506, 0.36540574), (346, 0.3288697), (2, 0.32774568), (746, 0.31759524), (662, 0.3130599), (503, 0.309915), (968, 0.30456147), (434, 0.3020814)]","[172, 404, 215, 545, 654, 10, 179, 244, 27, 272, 208, 409, 506, 346, 2, 746, 662, 503, 968, 434]",0,0.0
45,"[(55, 0.7938996), (95, 0.7409336), (63, 0.6935365), (68, 0.64710695), (526, 0.63960826), (124, 0.6223548), (567, 0.5610358), (254, 0.54166657), (470, 0.51358044), (163, 0.5127472), (430, 0.47721508), (61, 0.45017067), (269, 0.44917437), (122, 0.425234), (204, 0.40882322), (54, 0.40767485), (71, 0.37062806), (1027, 0.3672867), (115, 0.32641962), (505, 0.32019216)]","[55, 95, 63, 68, 526, 124, 567, 254, 470, 163, 430, 61, 269, 122, 204, 54, 71, 1027, 115, 505]",1,0.3562071871080222
46,"[(120, 0.77508074), (201, 0.69044596), (181, 0.6255322), (567, 0.5838986), (731, 0.5603014), (514, 0.5447509), (240, 0.536167), (430, 0.5079032), (292, 0.48394015), (426, 0.4752565), (245, 0.46851104), (659, 0.43958792), (297, 0.4215791), (497, 0.41902328), (238, 0.41257957), (653, 0.37715176), (115, 0.358779), (746, 0.3197324), (9, 0.318907), (211, 0.31289428)]","[120, 201, 181, 567, 731, 514, 240, 430, 292, 426, 245, 659, 297, 497, 238, 653, 115, 746, 9, 211]",0,0.0
47,"[(6, 0.74952257), (233, 0.7137635), (152, 0.6583123), (275, 0.6221197), (267, 0.5625709), (270, 0.5230923), (136, 0.49867967), (133, 0.49269864), (30, 0.42488232), (28, 0.4240325), (54, 0.4221062), (13, 0.38191903), (925, 0.3539624), (213, 0.33789185), (839, 0.33683595), (508, 0.32411757), (346, 0.31378043), (224, 0.3086734), (400, 0.2951478), (698, 0.28090948)]","[6, 233, 152, 275, 267, 270, 136, 133, 30, 28, 54, 13, 925, 213, 839, 508, 346, 224, 400, 698]",0,0.0
48,"[(264, 0.6895351), (275, 0.6455726), (229, 0.6250411), (186, 0.6129134), (134, 0.60611117), (61, 0.50039566), (446, 0.4617226), (525, 0.45317793), (483, 0.44753063), (743, 0.43909547), (595, 0.4177455), (683, 0.40818626), (506, 0.38814002), (302, 0.3815581), (232, 0.3566073), (662, 0.33482298), (749, 0.31710002), (485, 0.29527545), (894, 0.2795726), (279, 0.26698047)]","[264, 275, 229, 186, 134, 61, 446, 525, 483, 743, 595, 683, 506, 302, 232, 662, 749, 485, 894, 279]",1,0.3562071871080222
49,"[(173, 0.8131574), (6, 0.7543357), (209, 0.73070616), (741, 0.69019866), (131, 0.5841881), (384, 0.5559832), (514, 0.5379234), (207, 0.5175343), (133, 0.5015426), (154, 0.4980986), (656, 0.49375233), (214, 0.45417687), (122, 0.44955066), (41, 0.41671565), (464, 0.4041048), (683, 0.380551), (750, 0.36507663), (420, 0.35441446), (305, 0.31071416), (516, 0.29191703)]","[173, 6, 209, 741, 131, 384, 514, 207, 133, 154, 656, 214, 122, 41, 464, 683, 750, 420, 305, 516]",1,0.26264953503719357
