user_id_hasCF,true_shift_rank,top20_index,top20_with_score
237,25,"[590, 475, 244, 108, 149, 282, 268, 323, 12, 286, 594, 409, 872, 619, 743, 534, 830, 11, 455, 891]","[(590, 0.86703795), (475, 0.852688), (244, 0.84017146), (108, 0.8340359), (149, 0.7786164), (282, 0.77190506), (268, 0.76554793), (323, 0.6968564), (12, 0.69568485), (286, 0.6667068), (594, 0.5931977), (409, 0.5920614), (872, 0.5743653), (619, 0.5520417), (743, 0.5454747), (534, 0.5389392), (830, 0.52729225), (11, 0.5200656), (455, 0.48704705), (891, 0.4273847)]"
238,25,"[190, 422, 691, 708, 175, 214, 256, 12, 143, 638, 463, 1072, 303, 583, 117, 810, 309, 314, 146, 305]","[(190, 0.92700547), (422, 0.88676566), (691, 0.72476345), (708, 0.6811052), (175, 0.68004876), (214, 0.6711623), (256, 0.54024684), (12, 0.5316868), (143, 0.52145493), (638, 0.5137912), (463, 0.32701743), (1072, 0.3106555), (303, 0.27726132), (583, 0.26956713), (117, 0.24227592), (810, 0.23791708), (309, 0.22002597), (314, 0.17129704), (146, 0.16923843), (305, 0.14788255)]"
239,25,"[327, 242, 899, 537, 753, 274, 1024, 687, 873, 901, 245, 146, 15, 289, 262, 352, 85, 22, 368, 253]","[(327, 0.7713683), (242, 0.54040617), (899, 0.41194388), (537, 0.40174156), (753, 0.39424968), (274, 0.39144582), (1024, 0.38911024), (687, 0.35563362), (873, 0.32442018), (901, 0.2915989), (245, 0.22896802), (146, 0.1980877), (15, 0.104366064), (289, 0.093289815), (262, 0.08442155), (352, 0.066521384), (85, 0.059655022), (22, 0.049762737), (368, 0.045221746), (253, 0.035891693)]"
243,25,"[327, 242, 899, 537, 753, 274, 1024, 687, 873, 901, 245, 146, 15, 289, 262, 352, 85, 22, 368, 253]","[(327, 0.7713683), (242, 0.54040617), (899, 0.41194388), (537, 0.40174156), (753, 0.39424968), (274, 0.39144582), (1024, 0.38911024), (687, 0.35563362), (873, 0.32442018), (901, 0.2915989), (245, 0.22896802), (146, 0.1980877), (15, 0.104366064), (289, 0.093289815), (262, 0.08442155), (352, 0.066521384), (85, 0.059655022), (22, 0.049762737), (368, 0.045221746), (253, 0.035891693)]"
245,25,"[327, 242, 899, 537, 753, 274, 1024, 687, 873, 901, 245, 146, 15, 289, 262, 352, 85, 22, 368, 253]","[(327, 0.7713683), (242, 0.54040617), (899, 0.41194388), (537, 0.40174156), (753, 0.39424968), (274, 0.39144582), (1024, 0.38911024), (687, 0.35563362), (873, 0.32442018), (901, 0.2915989), (245, 0.22896802), (146, 0.1980877), (15, 0.104366064), (289, 0.093289815), (262, 0.08442155), (352, 0.066521384), (85, 0.059655022), (22, 0.049762737), (368, 0.045221746), (253, 0.035891693)]"
246,25,"[136, 55, 11, 115, 688, 1011, 178, 335, 227, 870, 1142, 277, 726, 369, 52, 843, 735, 153, 1073, 1116]","[(136, 0.670751), (55, 0.59699494), (11, 0.43864295), (115, 0.4256614), (688, 0.3278228), (1011, 0.31388298), (178, 0.27394554), (335, 0.21289729), (227, 0.19884476), (870, 0.16889136), (1142, 0.15435924), (277, 0.12929481), (726, 0.12666601), (369, 0.12269867), (52, 0.11930324), (843, 0.1163512), (735, 0.114631996), (153, 0.11429969), (1073, 0.104286954), (1116, 0.10182022)]"
247,25,"[136, 55, 11, 115, 688, 1011, 178, 335, 227, 870, 1142, 277, 726, 369, 52, 843, 735, 153, 1073, 1116]","[(136, 0.670751), (55, 0.59699494), (11, 0.43864295), (115, 0.4256614), (688, 0.3278228), (1011, 0.31388298), (178, 0.27394554), (335, 0.21289729), (227, 0.19884476), (870, 0.16889136), (1142, 0.15435924), (277, 0.12929481), (726, 0.12666601), (369, 0.12269867), (52, 0.11930324), (843, 0.1163512), (735, 0.114631996), (153, 0.11429969), (1073, 0.104286954), (1116, 0.10182022)]"
248,25,"[287, 283, 432, 595, 761, 290, 153, 47, 217, 822, 213, 549, 923, 695, 870, 520, 755, 121, 462, 346]","[(287, 0.80030835), (283, 0.70412), (432, 0.5170563), (595, 0.43722028), (761, 0.4242709), (290, 0.41059345), (153, 0.37723744), (47, 0.37428746), (217, 0.35984385), (822, 0.33411548), (213, 0.33403915), (549, 0.31024364), (923, 0.2872721), (695, 0.26335955), (870, 0.26255187), (520, 0.26163077), (755, 0.25814363), (121, 0.21211417), (462, 0.19886298), (346, 0.18237226)]"
249,25,"[227, 14, 184, 545, 57, 461, 283, 187, 497, 662, 630, 281, 202, 380, 108, 692, 248, 113, 583, 407]","[(227, 0.72742695), (14, 0.720325), (184, 0.71868676), (545, 0.6713544), (57, 0.5842711), (461, 0.5511444), (283, 0.5423134), (187, 0.53746563), (497, 0.47772944), (662, 0.4567513), (630, 0.4499514), (281, 0.44508067), (202, 0.4257313), (380, 0.3979933), (108, 0.39315933), (692, 0.39121696), (248, 0.3700488), (113, 0.35470885), (583, 0.3427191), (407, 0.33330345)]"
250,25,"[227, 14, 184, 545, 57, 461, 283, 187, 497, 662, 630, 281, 202, 380, 108, 692, 248, 113, 583, 407]","[(227, 0.72742695), (14, 0.720325), (184, 0.71868676), (545, 0.6713544), (57, 0.5842711), (461, 0.5511444), (283, 0.5423134), (187, 0.53746563), (497, 0.47772944), (662, 0.4567513), (630, 0.4499514), (281, 0.44508067), (202, 0.4257313), (380, 0.3979933), (108, 0.39315933), (692, 0.39121696), (248, 0.3700488), (113, 0.35470885), (583, 0.3427191), (407, 0.33330345)]"
252,25,"[227, 14, 184, 545, 57, 461, 283, 187, 497, 662, 630, 281, 202, 380, 108, 692, 248, 113, 583, 407]","[(227, 0.72742695), (14, 0.720325), (184, 0.71868676), (545, 0.6713544), (57, 0.5842711), (461, 0.5511444), (283, 0.5423134), (187, 0.53746563), (497, 0.47772944), (662, 0.4567513), (630, 0.4499514), (281, 0.44508067), (202, 0.4257313), (380, 0.3979933), (108, 0.39315933), (692, 0.39121696), (248, 0.3700488), (113, 0.35470885), (583, 0.3427191), (407, 0.33330345)]"
253,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
256,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
257,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
258,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
259,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
261,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
262,25,"[545, 565, 473, 116, 62, 635, 48, 22, 242, 80, 527, 672, 300, 581, 673, 814, 894, 770, 1065, 1206]","[(545, 0.71657157), (565, 0.6920572), (473, 0.6037949), (116, 0.58101755), (62, 0.49930692), (635, 0.4657755), (48, 0.4342421), (22, 0.40652916), (242, 0.39826244), (80, 0.3510885), (527, 0.32878104), (672, 0.31887716), (300, 0.31110114), (581, 0.28473157), (673, 0.24500126), (814, 0.2212808), (894, 0.20533551), (770, 0.20314284), (1065, 0.19813769), (1206, 0.19499396)]"
264,25,"[677, 275, 301, 117, 318, 684, 279, 125, 219, 107, 1008, 925, 824, 748, 947, 9, 983, 872, 989, 252]","[(677, 0.817963), (275, 0.7862161), (301, 0.7540491), (117, 0.71648383), (318, 0.6358178), (684, 0.56597054), (279, 0.5447471), (125, 0.5187503), (219, 0.51086915), (107, 0.50243765), (1008, 0.43030965), (925, 0.42409495), (824, 0.41672406), (748, 0.3561123), (947, 0.35381362), (9, 0.3445347), (983, 0.30298272), (872, 0.26879257), (989, 0.19277273), (252, 0.18920547)]"
265,25,"[677, 275, 301, 117, 318, 684, 279, 125, 219, 107, 1008, 925, 824, 748, 947, 9, 983, 872, 989, 252]","[(677, 0.817963), (275, 0.7862161), (301, 0.7540491), (117, 0.71648383), (318, 0.6358178), (684, 0.56597054), (279, 0.5447471), (125, 0.5187503), (219, 0.51086915), (107, 0.50243765), (1008, 0.43030965), (925, 0.42409495), (824, 0.41672406), (748, 0.3561123), (947, 0.35381362), (9, 0.3445347), (983, 0.30298272), (872, 0.26879257), (989, 0.19277273), (252, 0.18920547)]"
267,25,"[677, 275, 301, 117, 318, 684, 279, 125, 219, 107, 1008, 925, 824, 748, 947, 9, 983, 872, 989, 252]","[(677, 0.817963), (275, 0.7862161), (301, 0.7540491), (117, 0.71648383), (318, 0.6358178), (684, 0.56597054), (279, 0.5447471), (125, 0.5187503), (219, 0.51086915), (107, 0.50243765), (1008, 0.43030965), (925, 0.42409495), (824, 0.41672406), (748, 0.3561123), (947, 0.35381362), (9, 0.3445347), (983, 0.30298272), (872, 0.26879257), (989, 0.19277273), (252, 0.18920547)]"
269,25,"[677, 275, 301, 117, 318, 684, 279, 125, 219, 107, 1008, 925, 824, 748, 947, 9, 983, 872, 989, 252]","[(677, 0.817963), (275, 0.7862161), (301, 0.7540491), (117, 0.71648383), (318, 0.6358178), (684, 0.56597054), (279, 0.5447471), (125, 0.5187503), (219, 0.51086915), (107, 0.50243765), (1008, 0.43030965), (925, 0.42409495), (824, 0.41672406), (748, 0.3561123), (947, 0.35381362), (9, 0.3445347), (983, 0.30298272), (872, 0.26879257), (989, 0.19277273), (252, 0.18920547)]"
271,25,"[677, 275, 301, 117, 318, 684, 279, 125, 219, 107, 1008, 925, 824, 748, 947, 9, 983, 872, 989, 252]","[(677, 0.817963), (275, 0.7862161), (301, 0.7540491), (117, 0.71648383), (318, 0.6358178), (684, 0.56597054), (279, 0.5447471), (125, 0.5187503), (219, 0.51086915), (107, 0.50243765), (1008, 0.43030965), (925, 0.42409495), (824, 0.41672406), (748, 0.3561123), (947, 0.35381362), (9, 0.3445347), (983, 0.30298272), (872, 0.26879257), (989, 0.19277273), (252, 0.18920547)]"
274,25,"[87, 69, 426, 37, 110, 179, 108, 64, 200, 622, 377, 627, 224, 409, 394, 270, 927, 950, 870, 656]","[(87, 0.8714047), (69, 0.7724628), (426, 0.759907), (37, 0.7491982), (110, 0.6717542), (179, 0.6408429), (108, 0.57225156), (64, 0.54768825), (200, 0.46329868), (622, 0.46236536), (377, 0.43373528), (627, 0.41490093), (224, 0.4034569), (409, 0.39680737), (394, 0.35619766), (270, 0.34724838), (927, 0.32825404), (950, 0.31339067), (870, 0.2953978), (656, 0.27906278)]"
