movie_id,title,release_date,genres,train_id
248,Grosse Pointe Blank (1997),11-Apr-1997,Comedy|Crime,247
249,Austin Powers: International Man of Mystery (1997),02-May-1997,Comedy,248
250,"Fifth Element, The (1997)",09-May-1997,Action|Sci-Fi,249
251,Shall We Dance? (1996),11-Jul-1997,Comedy,250
252,"Lost World: Jurassic Park, The (1997)",23-May-1997,Action|Adventure|Sci-Fi|Thriller,251
253,"Pillow Book, The (1995)",13-Jun-1997,Drama|Romance,252
254,Batman & Robin (1997),20-Jun-1997,Action|Adventure|Crime,253
255,My Best Friend's Wedding (1997),20-Jun-1997,Comedy|Romance,254
256,When the Cats Away (Chacun cherche son chat) (1996),20-Jun-1997,Comedy|Romance,255
257,Men in Black (1997),04-Jul-1997,Action|Adventure|Comedy|Sci-Fi,256
258,Contact (1997),11-Jul-1997,Drama|Sci-Fi,257
259,George of the Jungle (1997),01-Jan-1997,Children's|Comedy,258
260,Event Horizon (1997),01-Jan-1997,Action|Mystery|Sci-Fi|Thriller,259
261,Air Bud (1997),01-Aug-1997,Children's|Comedy,260
262,In the Company of Men (1997),01-Aug-1997,Drama,261
263,Steel (1997),15-Aug-1997,Action,262
264,Mimic (1997),22-Aug-1997,Sci-Fi|Thriller,263
265,"Hunt for Red October, The (1990)",01-Jan-1990,Action|Thriller,264
266,Kull the Conqueror (1997),29-Aug-1997,Action|Adventure,265
267,unknown,,unknown,266
268,Chasing Amy (1997),01-Jan-1997,Drama|Romance,267
269,"Full Monty, The (1997)",01-Jan-1997,Comedy,268
270,Gattaca (1997),01-Jan-1997,Drama|Sci-Fi|Thriller,269
271,Starship Troopers (1997),01-Jan-1997,Action|Adventure|Sci-Fi|War,270
272,Good Will Hunting (1997),01-Jan-1997,Drama,271
273,Heat (1995),01-Jan-1995,Action|Crime|Thriller,272
274,Sabrina (1995),01-Jan-1995,Comedy|Romance,273
275,Sense and Sensibility (1995),01-Jan-1995,Drama|Romance,274
276,Leaving Las Vegas (1995),01-Jan-1995,Drama|Romance,275
277,Restoration (1995),01-Jan-1995,Drama,276
278,Bed of Roses (1996),01-Jan-1996,Drama|Romance,277
279,Once Upon a Time... When We Were Colored (1995),01-Jan-1995,Drama,278
280,Up Close and Personal (1996),01-Mar-1996,Drama|Romance,279
281,"River Wild, The (1994)",01-Jan-1994,Action|Thriller,280
282,"Time to Kill, A (1996)",13-Jul-1996,Drama,281
283,Emma (1996),02-Aug-1996,Drama|Romance,282
284,Tin Cup (1996),16-Aug-1996,Comedy|Romance,283
285,Secrets & Lies (1996),04-Oct-1996,Drama,284
286,"English Patient, The (1996)",15-Nov-1996,Drama|Romance|War,285
287,Marvin's Room (1996),18-Dec-1996,Drama,286
288,Scream (1996),20-Dec-1996,Horror|Thriller,287
289,Evita (1996),25-Dec-1996,Drama|Musical,288
290,Fierce Creatures (1997),10-Jan-1997,Comedy,289
291,Absolute Power (1997),14-Feb-1997,Mystery|Thriller,290
292,Rosewood (1997),21-Feb-1997,Drama,291
293,Donnie Brasco (1997),28-Feb-1997,Crime|Drama,292
294,Liar Liar (1997),21-Mar-1997,Comedy,293
295,Breakdown (1997),02-May-1997,Action|Thriller,294
296,"Promesse, La (1996)",16-May-1997,Drama,295
297,Ulee's Gold (1997),01-Jan-1997,Drama,296
298,Face/Off (1997),27-Jun-1997,Action|Sci-Fi|Thriller,297
299,Hoodlum (1997),22-Aug-1997,Crime|Drama|Film-Noir,298
300,Air Force One (1997),01-Jan-1997,Action|Thriller,299
301,In & Out (1997),19-Sep-1997,Comedy,300
302,L.A. Confidential (1997),01-Jan-1997,Crime|Film-Noir|Mystery|Thriller,301
303,Ulee's Gold (1997),01-Jan-1997,Drama,302
304,Fly Away Home (1996),13-Sep-1996,Adventure|Children's,303
305,"Ice Storm, The (1997)",01-Jan-1997,Drama,304
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01-Jan-1997,Drama|Romance,305
307,"Devil's Advocate, The (1997)",01-Jan-1997,Crime|Horror|Mystery|Thriller,306
308,FairyTale: A True Story (1997),01-Jan-1997,Children's|Drama|Fantasy,307
309,Deceiver (1997),01-Jan-1997,Crime,308
310,"Rainmaker, The (1997)",01-Jan-1997,Drama,309
311,"Wings of the Dove, The (1997)",01-Jan-1997,Drama|Romance|Thriller,310
312,Midnight in the Garden of Good and Evil (1997),01-Jan-1997,Comedy|Crime|Drama|Mystery,311
313,Titanic (1997),01-Jan-1997,Action|Drama|Romance,312
314,3 Ninjas: High Noon At Mega Mountain (1998),01-Jan-1997,Action|Children's,313
315,Apt Pupil (1998),23-Oct-1998,Drama|Thriller,314
316,As Good As It Gets (1997),23-Dec-1997,Comedy|Drama,315
317,In the Name of the Father (1993),01-Jan-1993,Drama,316
318,Schindler's List (1993),01-Jan-1993,Drama|War,317
319,Everyone Says I Love You (1996),06-Dec-1996,Comedy|Musical|Romance,318
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),06-Dec-1996,Documentary,319
321,Mother (1996),25-Dec-1996,Comedy,320
322,Murder at 1600 (1997),18-Apr-1997,Mystery|Thriller,321
323,Dante's Peak (1997),07-Feb-1997,Action|Thriller,322
324,Lost Highway (1997),21-Feb-1997,Mystery,323
325,Crash (1996),21-Mar-1997,Drama|Thriller,324
326,G.I. Jane (1997),01-Jan-1997,Action|Drama|War,325
327,Cop Land (1997),01-Jan-1997,Crime|Drama|Mystery,326
328,Conspiracy Theory (1997),08-Aug-1997,Action|Mystery|Romance|Thriller,327
329,Desperate Measures (1998),30-Jan-1998,Crime|Drama|Thriller,328
330,187 (1997),01-Jan-1997,Drama,329
331,"Edge, The (1997)",26-Sep-1997,Adventure|Thriller,330
332,Kiss the Girls (1997),01-Jan-1997,Crime|Drama|Thriller,331
333,"Game, The (1997)",01-Jan-1997,Mystery|Thriller,332
334,U Turn (1997),01-Jan-1997,Action|Crime|Mystery,333
335,How to Be a Player (1997),01-Jan-1997,Comedy,334
336,Playing God (1997),01-Jan-1997,Crime|Thriller,335
337,"House of Yes, The (1997)",01-Jan-1997,Comedy|Drama|Thriller,336
338,Bean (1997),01-Jan-1997,Comedy,337
339,Mad City (1997),01-Jan-1997,Action|Drama,338
340,Boogie Nights (1997),01-Jan-1997,Drama,339
341,Critical Care (1997),01-Jan-1997,Comedy,340
342,"Man Who Knew Too Little, The (1997)",01-Jan-1997,Comedy|Mystery,341
343,Alien: Resurrection (1997),01-Jan-1997,Action|Horror|Sci-Fi,342
344,"Apostle, The (1997)",18-Dec-1997,Drama,343
345,Deconstructing Harry (1997),01-Jan-1997,Comedy|Drama,344
346,Jackie Brown (1997),01-Jan-1997,Crime|Drama,345
347,Wag the Dog (1997),09-Jan-1998,Comedy|Drama,346
348,Desperate Measures (1998),30-Jan-1998,Crime|Drama|Thriller,347
349,Hard Rain (1998),16-Jan-1998,Action|Thriller,348
350,Fallen (1998),16-Jan-1998,Action|Mystery|Thriller,349
351,"Prophecy II, The (1998)",16-Jan-1998,Horror,350
352,Spice World (1997),01-Jan-1997,Comedy|Musical,351
353,Deep Rising (1998),30-Jan-1998,Action|Horror|Sci-Fi,352
354,"Wedding Singer, The (1998)",13-Feb-1998,Comedy|Romance,353
355,Sphere (1998),13-Feb-1998,Adventure|Sci-Fi|Thriller,354
356,"Client, The (1994)",01-Jan-1994,Drama|Mystery|Thriller,355
357,One Flew Over the Cuckoo's Nest (1975),01-Jan-1975,Drama,356
358,Spawn (1997),01-Aug-1997,Action|Adventure|Sci-Fi|Thriller,357
359,"Assignment, The (1997)",01-Jan-1997,Thriller,358
360,Wonderland (1997),01-Jan-1997,Documentary,359
361,Incognito (1997),01-Jan-1997,Crime|Thriller,360
362,Blues Brothers 2000 (1998),06-Feb-1998,Action|Comedy|Musical,361
363,Sudden Death (1995),01-Jan-1995,Action,362
364,Ace Ventura: When Nature Calls (1995),01-Jan-1995,Comedy,363
365,Powder (1995),01-Jan-1995,Drama,364
366,Dangerous Minds (1995),01-Jan-1995,Drama,365
367,Clueless (1995),01-Jan-1995,Comedy,366
368,Bio-Dome (1996),01-Jan-1996,Comedy,367
369,Black Sheep (1996),02-Feb-1996,Comedy,368
370,Mary Reilly (1996),23-Feb-1996,Drama|Thriller,369
371,"Bridges of Madison County, The (1995)",09-Feb-1996,Drama|Romance,370
372,Jeffrey (1995),01-Jan-1995,Comedy,371
373,Judge Dredd (1995),01-Jan-1995,Action|Adventure|Sci-Fi,372
374,Mighty Morphin Power Rangers: The Movie (1995),01-Jan-1995,Action|Children's,373
375,Showgirls (1995),01-Jan-1995,Drama,374
376,Houseguest (1994),01-Jan-1994,Comedy,375
377,Heavyweights (1994),01-Jan-1994,Children's|Comedy,376
378,Miracle on 34th Street (1994),01-Jan-1994,Drama,377
379,Tales From the Crypt Presents: Demon Knight (1995),01-Jan-1995,Horror,378
380,Star Trek: Generations (1994),01-Jan-1994,Action|Adventure|Sci-Fi,379
381,Muriel's Wedding (1994),01-Jan-1994,Comedy|Romance,380
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",01-Jan-1994,Comedy|Drama,381
383,"Flintstones, The (1994)",01-Jan-1994,Children's|Comedy,382
384,Naked Gun 33 1/3: The Final Insult (1994),01-Jan-1994,Comedy,383
385,True Lies (1994),01-Jan-1994,Action|Adventure|Comedy|Romance,384
386,Addams Family Values (1993),01-Jan-1993,Comedy,385
387,"Age of Innocence, The (1993)",01-Jan-1993,Drama,386
388,Beverly Hills Cop III (1994),01-Jan-1994,Action|Comedy,387
389,Black Beauty (1994),01-Jan-1994,Adventure|Children's,388
390,Fear of a Black Hat (1993),01-Jan-1993,Comedy,389
391,Last Action Hero (1993),01-Jan-1993,Action|Comedy,390
392,"Man Without a Face, The (1993)",01-Jan-1993,Drama,391
393,Mrs. Doubtfire (1993),01-Jan-1993,Comedy,392
394,Radioland Murders (1994),01-Jan-1994,Comedy|Mystery|Romance,393
395,Robin Hood: Men in Tights (1993),01-Jan-1993,Comedy,394
396,Serial Mom (1994),01-Jan-1994,Comedy|Crime|Horror,395
397,Striking Distance (1993),01-Jan-1993,Action,396
398,Super Mario Bros. (1993),01-Jan-1993,Action|Adventure|Children's|Sci-Fi,397
399,"Three Musketeers, The (1993)",01-Jan-1993,Action|Adventure|Comedy,398
400,"Little Rascals, The (1994)",01-Jan-1994,Children's|Comedy,399
